File	Title	Debate	Date	Decade	Election	Participants	Moderators	Speaker	Party	Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Text
t000002	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	11	11	-1	5	-7	0	The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States. They’re not going to get that chance now because we’re in the middle of an election already. The election has already started. Tens of thousands of people already voted and so the thing that should happen is we should wait. We should wait and see what the outcome of this election is because that’s the only way the American people get to express their view is by who they elect as President and who they elect as Vice President. Now, what’s at stake here is the President’s made it clear, he wants to get rid of the Affordable Care Act. He’s been running on that, he ran on that and he’s been governing on that. He’s in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court. And the justice, I’m not opposed to the justice, she seems like a very fine person. But she’s written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional. The other thing that’s on the court, and if it’s struck down, what happens? Women’s rights are fundamentally changed. Once again, a woman could pay more money because she has a pre-existing condition of pregnancy. They’re able to charge women more for the same exact procedure a man gets. And that ended when we, in fact, passed the Affordable Care Act, and there’s a hundred million people who have pre-existing conditions and they’ll be taken away as well. Those pre-existing conditions, insurance companies are going to love this. And so it’s just not appropriate to do this before this election. If he wins the election and the Senate is Republican, then he goes forward. If not, we should wait until February.
t000003	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	1	3	0	0	-2	0	There aren’t a hundred million people with pre-existing conditions. As far as a say is concerned, the people already had their say. Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years. We’re not elected for three years. I’m not elected for three years. So we have the Senate, we have a President-
t000004	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	4	2	0	0	-1	0	During that period of time, during that period of time, we have an opening. I’m not elected for three years. I’m elected for four years. Joe, the hundred million people is totally wrong. I don’t know where you got that number. The bigger problem that you have is that you’re going to extinguish 180 million people with their private health care, that they’re very happy with.
t000011	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	1	3	0	0	-3	-1	The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here’s the deal. The deal is that it’s going to wipe out pre-existing conditions. And, by the way, the 200,000 people that have died on his watch, how many of those have survived? Well, there’s seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?
t000024	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	4	1	0	3	1	0	I’ll give you an example. Insulin, it was destroying families, destroying people, the cost. I’m getting it for so cheap it’s like water, you want to know the truth. So cheap. Take a look at all of the drugs that what we’re doing. Prescription drug prices, we’re going to allow our Governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do.
t000033	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	0	0	0	1	-3	0	The wrong guy, the wrong night, at the wrong time.
t000040	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	3	5	0	0	-2	0	Obamacare is no good. We made it better and I had a choice to make very early on. We took away the individual mandate. We guaranteed pre-existing conditions, but took away the individual mandate. Listen, this is the way it is. And that destroyed … They shouldn’t even call it Obamacare, then I had a choice to make, do I let my people run it really well or badly? If I run it badly, they’ll probably blame him, but they’ll blame me. But more importantly, I want to help people. Okay. I said, “You’ve got to run it so well.” And I just had a meeting with them. They said the problem is, no matter how well you run Obamacare, it’s a disaster. It’s too expensive. Premiums are too high, that it doesn’t work. So we do want to get rid of it. Chris, we want to get rid of that and give something that’s cheaper and better.
t000051	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	TRUMP	Republican	0	4	0	0	-1	0	If we would’ve listened to you, the country would have been left wide open, millions of people would have died, not 200,000. And one person is too much. It’s China’s fault. It should have never happened. They stopped it from going in, but it was China’s fault. And, by the way, when you talk about numbers, you don’t know how many people died in China. You don’t know how many people died in Russia. You don’t know how many people died in India. They don’t exactly give you a straight count, just so you understand. But if you look at what we’ve done, I closed it and you said, “He’s xenophobic. He’s a racist and he’s xenophobic,” because you didn’t think I should have closed our country. Wait a minute.
t000055	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	2	0	0	0	-1	0	And there was no one … We didn’t shut down the economy. This is his economy he shut down. The reason it’s shut down is because, look, you folks at home. How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID? How many of you are in a situation where you lost your mom or dad and you couldn’t even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?
t000069	September 29, 2020 Debate Transcript	Presidential Debate at Case Western Reserve University and Cleveland Clinic in Cleveland, Ohio	2020-09-29	2020	2020 Election	Former Vice President Joe Biden (D) and President Donald Trump (R)	Chris Wallace (Fox News)	BIDEN	Democratic	-1	1	0	0	1	0	Do you believe for a moment what he’s telling you in light of all the lies he’s told you about the whole issue relating to COVID? He still hasn’t even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn’t even tell you. He’s on record as saying it. He panicked or he just looked at the stock market. One of the two. Because guess what? A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-
